table_index,caption,col1,col2,col3
0,Resum dades: temperatura màxima avui,Vinebre,30.3,
0,Resum dades: temperatura màxima avui,Falset,30.2,
0,Resum dades: temperatura màxima avui,l'Ametlla de Mar,30.1,
0,Resum dades: temperatura màxima avui,Torroja del Priorat,30.1,
0,Resum dades: temperatura màxima avui,Riudecanyes,30.1,
0,Resum dades: temperatura màxima avui,Miami Platja,29.8,
0,Resum dades: temperatura màxima avui,Margalef,29.7,
0,Resum dades: temperatura màxima avui,Sant Llorenç Savall,29.7,
0,Resum dades: temperatura màxima avui,Caldes de Montbui,29.7,
0,Resum dades: temperatura màxima avui,Tarragona - Complex Educatiu,29.7,
1,Resum dades: temperatura mínima avui,Das - Aeròdrom,12.6,
1,Resum dades: temperatura mínima avui,el Pont de Suert,14.5,
1,Resum dades: temperatura mínima avui,Guixers - Valls,14.7,
1,Resum dades: temperatura mínima avui,Puigcerdà,16.0,
1,Resum dades: temperatura mínima avui,Sant Pau de Segúries,16.2,
1,Resum dades: temperatura mínima avui,Bonabé (1.691 m),16.2,
1,Resum dades: temperatura mínima avui,Sort,16.4,
1,Resum dades: temperatura mínima avui,Guardiola de Berguedà,16.6,
1,Resum dades: temperatura mínima avui,Castellar de n'Hug - el Clot del Moro,16.9,
1,Resum dades: temperatura mínima avui,Sant Llorenç Savall,17.1,
2,Resum dades: velocitat i direcció del vent avui,Puig Sesolles (1.666 m),SO,56.9
2,Resum dades: velocitat i direcció del vent avui,Montsec d'Ares (1.571 m),S,36.0
2,Resum dades: velocitat i direcció del vent avui,Port de Barcelona - Bocana Sud,SO,32.0
2,Resum dades: velocitat i direcció del vent avui,Malgrat de Mar,SO,31.3
2,Resum dades: velocitat i direcció del vent avui,Ulldemolins,E,31.0
2,Resum dades: velocitat i direcció del vent avui,Organyà,NE,28.1
2,Resum dades: velocitat i direcció del vent avui,Alguaire,E,26.6
2,Resum dades: velocitat i direcció del vent avui,Barcelona - Observatori Fabra,O,26.3
2,Resum dades: velocitat i direcció del vent avui,Sabadell - Parc Agrari,O,26.3
2,Resum dades: velocitat i direcció del vent avui,Tivissa,SE,26.3
3,Resum dades: precipitació avui,Castellnou de Seana,0.0,
3,Resum dades: precipitació avui,Tàrrega,0.0,
3,Resum dades: precipitació avui,Cervera,0.0,
3,Resum dades: precipitació avui,Mas de Barberans,0.0,
3,Resum dades: precipitació avui,Orís,0.0,
3,Resum dades: precipitació avui,la Seu d'Urgell - Bellestar,0.0,
3,Resum dades: precipitació avui,els Hostalets de Pierola,0.0,
3,Resum dades: precipitació avui,Molló - Fabert,0.0,
3,Resum dades: precipitació avui,Sant Pau de Segúries,0.0,
3,Resum dades: precipitació avui,Organyà,0.0,
