table_index,caption,col1,col2,col3
0,Resum dades: temperatura màxima avui,Aldover,32.9,
0,Resum dades: temperatura màxima avui,Vinebre,32.3,
0,Resum dades: temperatura màxima avui,Cabanes,32.3,
0,Resum dades: temperatura màxima avui,Benissanet,31.8,
0,Resum dades: temperatura màxima avui,Sant Sadurní d'Anoia,31.5,
0,Resum dades: temperatura màxima avui,Pantà de Siurana,31.2,
0,Resum dades: temperatura màxima avui,Castellbisbal,31.2,
0,Resum dades: temperatura màxima avui,Girona,31.2,
0,Resum dades: temperatura màxima avui,Fornells de la Selva,31.1,
0,Resum dades: temperatura màxima avui,Ulldecona - els Valentins,31.0,
1,Resum dades: temperatura mínima avui,Das - Aeròdrom,4.8,
1,Resum dades: temperatura mínima avui,Prades,5.5,
1,Resum dades: temperatura mínima avui,Bonabé (1.691 m),6.1,
1,Resum dades: temperatura mínima avui,Guixers - Valls,6.6,
1,Resum dades: temperatura mínima avui,el Pont de Suert,6.7,
1,Resum dades: temperatura mínima avui,Puigcerdà,7.8,
1,Resum dades: temperatura mínima avui,Vielha - Elipòrt,7.8,
1,Resum dades: temperatura mínima avui,Sant Pau de Segúries,8.2,
1,Resum dades: temperatura mínima avui,Molló - Fabert,8.4,
1,Resum dades: temperatura mínima avui,Guardiola de Berguedà,8.5,
2,Resum dades: velocitat i direcció del vent avui,Portbou - coll dels Belitres,NO,44.6
2,Resum dades: velocitat i direcció del vent avui,Puig Sesolles (1.666 m),O,42.8
2,Resum dades: velocitat i direcció del vent avui,Das - Aeròdrom,O,40.3
2,Resum dades: velocitat i direcció del vent avui,Banyoles,SE,34.6
2,Resum dades: velocitat i direcció del vent avui,Muntanyola,O,32.8
2,Resum dades: velocitat i direcció del vent avui,Perafita,S,32.4
2,Resum dades: velocitat i direcció del vent avui,Caldes de Montbui,S,32.4
2,Resum dades: velocitat i direcció del vent avui,Font-rubí,S,31.3
2,Resum dades: velocitat i direcció del vent avui,Pantà de Darnius - Boadella,SE,30.6
2,Resum dades: velocitat i direcció del vent avui,Santa Coloma de Farners,SE,30.6
3,Resum dades: precipitació avui,Sant Pau de Segúries,0.1,
3,Resum dades: precipitació avui,Castellnou de Seana,0.0,
3,Resum dades: precipitació avui,Tàrrega,0.0,
3,Resum dades: precipitació avui,Cervera,0.0,
3,Resum dades: precipitació avui,Mas de Barberans,0.0,
3,Resum dades: precipitació avui,Orís,0.0,
3,Resum dades: precipitació avui,la Seu d'Urgell - Bellestar,0.0,
3,Resum dades: precipitació avui,els Hostalets de Pierola,0.0,
3,Resum dades: precipitació avui,Molló - Fabert,0.0,
3,Resum dades: precipitació avui,Organyà,0.0,
