table_index,caption,col1,col2,col3
0,Resum dades: temperatura màxima avui,el Prat de Llobregat,30.5,
0,Resum dades: temperatura màxima avui,Vilanova i la Geltrú,30.5,
0,Resum dades: temperatura màxima avui,Vallirana,30.2,
0,Resum dades: temperatura màxima avui,Roses,30.2,
0,Resum dades: temperatura màxima avui,Cabanes,29.9,
0,Resum dades: temperatura màxima avui,el Vendrell,29.7,
0,Resum dades: temperatura màxima avui,l'Aldea,29.7,
0,Resum dades: temperatura màxima avui,la Bisbal del Penedès,29.5,
0,Resum dades: temperatura màxima avui,Castell d'Aro,29.4,
0,Resum dades: temperatura màxima avui,Tarragona - Complex Educatiu,29.4,
1,Resum dades: temperatura mínima avui,Prades,7.4,
1,Resum dades: temperatura mínima avui,Bonabé (1.691 m),7.4,
1,Resum dades: temperatura mínima avui,Das - Aeròdrom,7.5,
1,Resum dades: temperatura mínima avui,Vielha - Elipòrt,8.6,
1,Resum dades: temperatura mínima avui,el Pont de Suert,9.3,
1,Resum dades: temperatura mínima avui,Puigcerdà,9.7,
1,Resum dades: temperatura mínima avui,Guixers - Valls,9.8,
1,Resum dades: temperatura mínima avui,Puig Sesolles (1.666 m),10.3,
1,Resum dades: temperatura mínima avui,Tírvia,10.5,
1,Resum dades: temperatura mínima avui,Molló - Fabert,10.8,
2,Resum dades: velocitat i direcció del vent avui,Portbou - coll dels Belitres,N,76.0
2,Resum dades: velocitat i direcció del vent avui,Miami Platja,NO,48.2
2,Resum dades: velocitat i direcció del vent avui,el Perelló,NO,42.8
2,Resum dades: velocitat i direcció del vent avui,Riudecanyes,NO,39.2
2,Resum dades: velocitat i direcció del vent avui,PN dels Ports,NO,37.1
2,Resum dades: velocitat i direcció del vent avui,Margalef,O,35.3
2,Resum dades: velocitat i direcció del vent avui,Puig Sesolles (1.666 m),O,33.1
2,Resum dades: velocitat i direcció del vent avui,Organyà,NE,32.0
2,Resum dades: velocitat i direcció del vent avui,el Prat de Llobregat,NO,31.3
2,Resum dades: velocitat i direcció del vent avui,Barcelona - Observatori Fabra,N,29.2
3,Resum dades: precipitació avui,Viladrau,0.1,
3,Resum dades: precipitació avui,Olot,0.1,
3,Resum dades: precipitació avui,Castellnou de Seana,0.0,
3,Resum dades: precipitació avui,Tàrrega,0.0,
3,Resum dades: precipitació avui,Cervera,0.0,
3,Resum dades: precipitació avui,Mas de Barberans,0.0,
3,Resum dades: precipitació avui,Orís,0.0,
3,Resum dades: precipitació avui,la Seu d'Urgell - Bellestar,0.0,
3,Resum dades: precipitació avui,els Hostalets de Pierola,0.0,
3,Resum dades: precipitació avui,Molló - Fabert,0.0,
