table_index,caption,col1,col2,col3
0,Resum dades: temperatura màxima avui,Barcelona - Observatori Fabra,31.4,
0,Resum dades: temperatura màxima avui,Portbou - coll dels Belitres,30.4,
0,Resum dades: temperatura màxima avui,Barcelona - el Raval,30.2,
0,Resum dades: temperatura màxima avui,PN del Garraf - el Rascler,30.1,
0,Resum dades: temperatura màxima avui,Banyoles,29.7,
0,Resum dades: temperatura màxima avui,Cabrils,29.6,
0,Resum dades: temperatura màxima avui,Mataró,29.4,
0,Resum dades: temperatura màxima avui,Vallirana,28.8,
0,Resum dades: temperatura màxima avui,Badalona - Museu,28.8,
0,Resum dades: temperatura màxima avui,Barcelona - Zona Universitària,28.6,
1,Resum dades: temperatura mínima avui,Das - Aeròdrom,11.3,
1,Resum dades: temperatura mínima avui,el Pont de Suert,11.8,
1,Resum dades: temperatura mínima avui,Guixers - Valls,12.7,
1,Resum dades: temperatura mínima avui,Prades,13.0,
1,Resum dades: temperatura mínima avui,Guardiola de Berguedà,13.3,
1,Resum dades: temperatura mínima avui,Sant Pau de Segúries,13.6,
1,Resum dades: temperatura mínima avui,Puigcerdà,13.6,
1,Resum dades: temperatura mínima avui,Bonabé (1.691 m),13.6,
1,Resum dades: temperatura mínima avui,Tírvia,13.9,
1,Resum dades: temperatura mínima avui,Castellar de n'Hug - el Clot del Moro,14.2,
2,Resum dades: velocitat i direcció del vent avui,Organyà,NE,47.5
2,Resum dades: velocitat i direcció del vent avui,Barcelona - Observatori Fabra,NO,34.2
2,Resum dades: velocitat i direcció del vent avui,Mataró,O,28.4
2,Resum dades: velocitat i direcció del vent avui,la Pobla de Segur,N,27.4
2,Resum dades: velocitat i direcció del vent avui,Anglès,N,26.3
2,Resum dades: velocitat i direcció del vent avui,Port de Barcelona - Bocana Sud,O,26.3
2,Resum dades: velocitat i direcció del vent avui,Portbou - coll dels Belitres,N,24.5
2,Resum dades: velocitat i direcció del vent avui,Orís,N,24.1
2,Resum dades: velocitat i direcció del vent avui,Terrassa,O,23.0
2,Resum dades: velocitat i direcció del vent avui,Pantà de Siurana,NE,22.7
3,Resum dades: precipitació avui,el Pont de Suert,0.1,
3,Resum dades: precipitació avui,Guixers - Valls,0.1,
3,Resum dades: precipitació avui,Montesquiu,0.1,
3,Resum dades: precipitació avui,Castellnou de Seana,0.0,
3,Resum dades: precipitació avui,Tàrrega,0.0,
3,Resum dades: precipitació avui,Cervera,0.0,
3,Resum dades: precipitació avui,Mas de Barberans,0.0,
3,Resum dades: precipitació avui,Orís,0.0,
3,Resum dades: precipitació avui,la Seu d'Urgell - Bellestar,0.0,
3,Resum dades: precipitació avui,els Hostalets de Pierola,0.0,
