table_index,caption,col1,col2,col3
0,Resum dades: temperatura màxima avui,Cabanes,39.5,
0,Resum dades: temperatura màxima avui,Espolla,39.4,
0,Resum dades: temperatura màxima avui,Benissanet,39.2,
0,Resum dades: temperatura màxima avui,Navata,39.2,
0,Resum dades: temperatura màxima avui,Vinebre,39.1,
0,Resum dades: temperatura màxima avui,Girona,39.1,
0,Resum dades: temperatura màxima avui,Anglès,38.9,
0,Resum dades: temperatura màxima avui,Vallfogona de Balaguer,38.7,
0,Resum dades: temperatura màxima avui,Aldover,38.6,
0,Resum dades: temperatura màxima avui,el Canós,38.6,
1,Resum dades: temperatura mínima avui,Das - Aeròdrom,7.5,
1,Resum dades: temperatura mínima avui,el Pont de Suert,9.1,
1,Resum dades: temperatura mínima avui,Guixers - Valls,9.7,
1,Resum dades: temperatura mínima avui,Sant Pau de Segúries,9.9,
1,Resum dades: temperatura mínima avui,Guardiola de Berguedà,10.1,
1,Resum dades: temperatura mínima avui,Prades,11.6,
1,Resum dades: temperatura mínima avui,Bonabé (1.691 m),12.5,
1,Resum dades: temperatura mínima avui,Tírvia,12.8,
1,Resum dades: temperatura mínima avui,Castellar de n'Hug - el Clot del Moro,13.1,
1,Resum dades: temperatura mínima avui,la Vall d'en Bas,13.1,
2,Resum dades: velocitat i direcció del vent avui,Portbou - coll dels Belitres,N,69.8
2,Resum dades: velocitat i direcció del vent avui,Organyà,NE,43.2
2,Resum dades: velocitat i direcció del vent avui,Margalef,NE,42.5
2,Resum dades: velocitat i direcció del vent avui,Pantà de Darnius - Boadella,NE,40.7
2,Resum dades: velocitat i direcció del vent avui,Roses,N,38.2
2,Resum dades: velocitat i direcció del vent avui,l'Espluga de Francolí,S,36.7
2,Resum dades: velocitat i direcció del vent avui,Falset,E,36.7
2,Resum dades: velocitat i direcció del vent avui,Tivissa,E,36.4
2,Resum dades: velocitat i direcció del vent avui,Pantà de Siurana,E,35.3
2,Resum dades: velocitat i direcció del vent avui,Horta de Sant Joan,SE,33.8
3,Resum dades: precipitació avui,Illa de Buda,0.2,
3,Resum dades: precipitació avui,el Pont de Suert,0.1,
3,Resum dades: precipitació avui,els Alfacs,0.1,
3,Resum dades: precipitació avui,Castellnou de Seana,0.0,
3,Resum dades: precipitació avui,Tàrrega,0.0,
3,Resum dades: precipitació avui,Cervera,0.0,
3,Resum dades: precipitació avui,Mas de Barberans,0.0,
3,Resum dades: precipitació avui,Orís,0.0,
3,Resum dades: precipitació avui,la Seu d'Urgell - Bellestar,0.0,
3,Resum dades: precipitació avui,els Hostalets de Pierola,0.0,
